cell_id,latitude,longitude,datetime_utc,temperature_2m,dew_point_2m,relative_humidity_2m,wind_speed_10m,U,delta_Td,RH_norm,D_norm,W_norm,FDI,visibility,driving_condition
1.0,52.50582185210293,13.34409945119787,2026-02-06 00:00:00+00:00,-0.6435,-1.4892575,94.0,11.159999,3.0999997,0.8457575,0.0,0.57712126,0.38000005,0.30684853,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 01:00:00+00:00,-0.6435,-1.4892575,94.0,11.165805,3.1016126,0.8457575,0.0,0.57712126,0.37967747,0.306784,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 02:00:00+00:00,-0.5435,-1.2456106,95.0,11.570515,3.214032,0.7021106,0.0,0.64894474,0.3571936,0.33101663,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 03:00:00+00:00,-0.3935,-1.0964782,95.0,10.239453,2.8442926,0.70297825,0.0,0.6485109,0.4311415,0.34563267,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 04:00:00+00:00,-0.2435,-0.8039911,96.0,8.825508,2.45153,0.5604911,0.2,0.71975446,0.509694,0.4698406,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 05:00:00+00:00,-0.1435,-0.7044524,96.0,7.928178,2.2022717,0.5609524,0.2,0.7195238,0.55954564,0.47971866,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 06:00:00+00:00,0.0065,-0.6987944,95.0,10.464798,2.9068885,0.70529443,0.0,0.6473528,0.41862231,0.3426656,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 07:00:00+00:00,0.0065,-0.5551446,96.0,8.28,2.3,0.5616446,0.2,0.7191777,0.54,0.4756711,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 08:00:00+00:00,0.1065,-0.31315953,97.0,7.5599995,2.1,0.41965953,0.4,0.79017025,0.58000004,0.59206814,200–500 m,Moderate fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 09:00:00+00:00,0.4065,-0.5934399,93.0,7.928178,2.2022717,0.9999399,0.0,0.50003004,0.55954564,0.31192115,500–1000 m,Light fog
1.0,52.50582185210293,13.34409945119787,2026-02-06 10:00:00+00:00,0.6065,-0.54358196,92.0,7.5942073,2.109502,1.150082,0.0,0.424959,0.5780996,0.28560352,> 1000 m,Clear
